close,volume,turnover,rsi,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
16930.5,9355.198,158172660,66.84,-4.5,0.3,0.7,0.3898
16990,4902.592,83226058.93,70.69,-60,0.44,0.56,0.4048
17119.5,17641.011,301267545.1,77.17,128,0.44,0.56,0.4048
17331.5,5970.819,103600481.9,75.59,-120.5,0.48,0.52,0.4048
17308.5,9730.164,168432493,62.84,68,0.44,0.56,0.3898
17478,15199.06,265562334.1,63.33,596.5,0.3,0.7,0.3898
18259,22898.825,413875020.6,90.57,-65.5,0.48,0.52,0.01
18833.5,46472.443,863758206.8,78.36,-33,0.44,0.56,0.4048
18983.5,15334.522,291355285.4,64.03,1943,0.44,0.56,0.3898
19451.5,16331.951,316699716.7,72.67,1457.5,0.48,0.52,0.4048
20997,4108.019,86141213.7,68.8,-317.5,0.48,0.52,0.3898
21192.5,20809.594,440200909.1,69.97,-442.5,0.44,0.56,0.3898
21351.5,7843.463,167070305.9,62.43,-142.5,0.44,0.56,0.3898
21398.5,23373.39,498666128.2,61.09,-373.5,0.44,0.56,0.3898
21075,9738.088,204982412.2,63.78,-108,0.45,0.55,0.3898
21144,7575.924,159816235.5,62.92,1411,0.44,0.56,0.3898
22288.5,55632.798,1221737023,88.76,337.5,0.48,0.52,0.75
23190,9170.802,212069605.9,76.88,-451,0.48,0.52,0.4048
23067.5,5447.772,125038962.6,60.71,-275.5,0.3,0.7,0.3898
22938,13644.301,312091433.3,60.7,29.5,0.45,0.55,0.3898
23108,4808.954,110959001.1,58.27,320.5,0.3,0.7,0.3714
23448.5,10629.241,248849360.9,70.63,344,0.48,0.52,0.4048
23895.5,17930.423,427579174.7,83.04,-198,0.48,0.52,0.75
23381,55549.888,1285350394,67.85,412,0.45,0.55,0.3898
24064.5,13532.161,325541416.5,65.75,-617.5,0.48,0.52,0.3898
23503,8890.112,209043937.5,57.23,-93.5,0.3,0.7,0.3714
23284,20931.839,484851445.6,69.17,-358,0.45,0.55,0.3898
21814,5755.843,125348713.6,58.75,-18.1,0.3,0.7,0.3714
21991.4,9911.247,218060217.7,68.43,-266.2,0.44,0.56,0.3898
22233.4,35572.653,779896111.3884999,71.1,-139.6,0.44,0.56,0.4048
22222,4738.868,105191881.7,63.1,1953.2000000000007,0.44,0.56,0.3898
23308.2,25824.33,598927644.8,83.47,1287.2000000000007,0.48,0.52,0.75
25100.5,27494.681,681967793.3,79.52,-1096.7,0.48,0.52,0.4048
24832.9,27979.592,694868713.3,70.73,-317.4,0.45,0.55,0.4048
24700.1,5346.238,131719895.5,59.59,13.100000000002183,0.44,0.56,0.3714
24924.9,20292.076,504977588.7,67.44,-566.5,0.48,0.52,0.3898
25034.9,3312.537,82754943.37,64.27,-343.8,0.3,0.7,0.3898
24529.9,15564.218,379937132.4,64.78,-749.7,0.3,0.7,0.3898
23477.1,16521.26,386565679.4,66.41,-92.4,0.3,0.7,0.3898
23700,19496.395,461030622.7,66.99,-312.1,0.44,0.56,0.3898
23778.7,14443.548,341771814.3,68.12,-80.2,0.3,0.7,0.3898
22575.7,15746.396,354841290.9,66.77,-243.2,0.3,0.7,0.3898
22479,8043.251,180544922.6,58.38,-105.9,0.44,0.56,0.3714
22538.9,9037.321,203467490.2,66.32,-152.3,0.44,0.56,0.3898
20571.3,28040.844,574237484.6,60.38,-721.2,0.45,0.55,0.3898
20776.5,29338.317,606402541.6,73.72,1533.0999999999985,0.44,0.56,0.4048
21978.9,23915.152,522734071.8,81.77,137,0.48,0.52,0.75
23473.2,69449.805,1607612042,79.92,934.5999999999985,0.48,0.52,0.4048
24580,12336.078,301444220.5,74.6,-3.6,0.48,0.52,0.4048
24928.5,16150.941,401395516,63.63,-242.1,0.45,0.55,0.3898
25654.5,27092.997,687240705.8,70.89,979.2999999999993,0.44,0.56,0.4048
27503.9,36273.78,994497164.4,76.54,-110.5,0.48,0.52,0.4048
27546,23687.789,652078406.7,65.77,-119,0.3,0.7,0.3898
28333,18913.349,534777985.5,61.06,-188,0.44,0.56,0.3898
28273.4,10776.601,304917138.9,59.63,-261.8,0.44,0.56,0.3714
28567.9,48897.809,1389890539,67.13,-394.1,0.3,0.7,0.3898
27848,6832.837,189807154.2,65.13,176.5,0.3,0.7,0.3898
27322.7,16538.284,448992812,57.71,200.70000000000073,0.3,0.7,0.3714
28037.8,25780.947,720222150.1,73.54,209.10000000000218,0.48,0.52,0.4048
28952.9,34208.525,987654141,73.46,-451.8,0.48,0.52,0.4048
28501.6,13616.498,388209340.7,62.37,101.40000000000146,0.3,0.7,0.3898
28657.2,18286.384,520513215.5,69.39,-111.9,0.3,0.7,0.3898
28011.7,4903.507,137267792.8,58.03,-42.3,0.3,0.7,0.3714
28127,10561.138,297261677.3,68.43,126.5,0.44,0.56,0.3898
28419.2,15208.238,432518143,66.59,1660.5,0.48,0.52,0.3898
30224.2,4167.137,125838279.4,67.65,-314.9,0.48,0.52,0.3898
30429.9,14193.354,431194311.8,66.09,354.1999999999971,0.44,0.56,0.3898
30739.9,20258.618,620952274.8,70.41,51.39999999999782,0.48,0.52,0.4048
30495.9,3340.262,101490666.2,63.8,-189.1,0.3,0.7,0.3898
30386.9,20506.097,619050573.9,74.99,-21.5,0.45,0.55,0.4048
27795.2,9798.47,270989827.8,62.67,-260.2,0.45,0.55,0.3898
27609.6,13741.084,377856023.4,60.52,707,0.3,0.7,0.3898
29948,55153.778,1631928171,89.61,-2076.2,0.48,0.52,0.75
29752,24908.346,737857142.9839998,65.55,-291,0.44,0.56,0.3898
29373.4,5534.952,162431924.3,62.87,-23.5,0.3,0.7,0.3898
28520,24874.75,709382681.7,61.97,-26.4,0.3,0.7,0.3898
28911.6,17171.495,495510540,63.56,167.90000000000146,0.3,0.7,0.3898
29312.6,14205.37,414049336.1,65.98,-377.8,0.48,0.52,0.3898
29578.9,19175.455,566426102.2,68.68,-220.3,0.44,0.56,0.3898
29029.4,5916.674,171540723.2,57.39,-135.7,0.45,0.55,0.3714
28156.9,31596.849,882288524.9429998,70.47,-674.7,0.3,0.7,0.4048
26824.2,4896.594,131423845.5,57.06,-57.1,0.3,0.7,0.3714
26946.9,2784.571,74898034.13,63.94,-76.8,0.44,0.56,0.3898
27195.7,13116.062,355252906.6,67.27,187.70000000000073,0.44,0.56,0.3898
27375.9,15452.264,422315980.1,68.24,-180.9,0.3,0.7,0.3898
26929.7,2895.83,77982306.62899998,57.15,232.39999999999782,0.45,0.55,0.3714
27233.6,8425.621,229088667.1,70.05,-190.9,0.48,0.52,0.4048
26982.8,10096.495,272687536.9,59.8,276.5,0.45,0.55,0.3714
26529.9,6539.065,173457544.6,59.35,110.69999999999709,0.45,0.55,0.3714
26794.7,1722.594,46147482.79,61.7,347.8999999999978,0.48,0.52,0.3898
27574.9,20032.158,552568084.7,82.44,407.2999999999993,0.48,0.52,0.75
28014.5,5506.561,153878885.7,67.28,-226.1,0.48,0.52,0.3898
27140,5635.465,152918942.7,61.76,-242.8,0.3,0.7,0.3898
27286.9,4534.355,123483263.6,64.92,-137.1,0.44,0.56,0.3898
26358.8,18610.719,487952332.1,64.76,541.7000000000007,0.3,0.7,0.3898
26703.1,7574.382,202123496.2,60.89,-218,0.48,0.52,0.3898
25933.3,7993.738,207487861,57.94,-167.3,0.45,0.55,0.3714
26117.9,7310.492,190548209.8,65.65,-98.4,0.44,0.56,0.3898
25383.2,9233.708,232944873.3,57.84,164.79999999999927,0.3,0.7,0.3714
25610,25019.031,635981016.6,58.6,573.7000000000007,0.48,0.52,0.3714
26604.3,3685.501,97982492.83,60.8,-140.2,0.48,0.52,0.3898
26657.2,11310.667,300863195.5,64.56,287.2000000000007,0.3,0.7,0.3898
26972.7,8006.526,215478512.8,71.64,-77.5,0.48,0.52,0.4048
27054.6,12267.625,330717409,64.89,1720.4000000000015,0.44,0.56,0.3898
29292.7,23045.255,672682110.7,79.58,837.2999999999993,0.48,0.52,0.4048
30270.8,11366.61,343141905.7,61.06,201.70000000000073,0.48,0.52,0.3898
30883.3,11524.888,356203353.2,64.36,-271.3,0.3,0.7,0.3898
30624.2,7969.759,242984832.4,59.42,-238.4,0.3,0.7,0.3714
30645,13921.08,425697766.4,63.54,66.79999999999927,0.3,0.7,0.3898
30685,14594.496,446707436.3,69.21,-299.9,0.3,0.7,0.3898
30733,10223.143,314437443.8,65.24,-614.9,0.44,0.56,0.3898
30559.2,3871.89,118406530.4,57.2,17.799999999999272,0.3,0.7,0.3714
30633,12362.579,378549579.1,58.75,-35,0.3,0.7,0.3714
31055.7,23359.823,723284633.1377999,76.97,198.5,0.44,0.56,0.4048
30788.5,6453.674,198618469.9,64.18,-202.1,0.3,0.7,0.3898
30321.1,2191.098,66362371.78,58.61,-61.1,0.3,0.7,0.3714
30514.7,8307.163,252874518.5,68.4,-226.6,0.45,0.55,0.3898
30905.8,35710.015,1102833982,69.83,544.6000000000022,0.3,0.7,0.3898
30387.8,5209.467,158232328.6,59.7,-125.8,0.3,0.7,0.3714
30120.4,6773.114,203735656,59.53,-360.3,0.3,0.7,0.3714
29964.9,5805.263,174100291.4,57.77,-94.9,0.3,0.7,0.3714
30101.6,6077.67,182467463.3,72.56,-167.4,0.44,0.56,0.4048
29260,7525.101,219910945,53.05,-98.3,0.3,0.7,0.3714
29287.6,3945.692,115463946,57.11,55.400000000001455,0.44,0.56,0.3714
29560,16597.179,490235331.1,71.28,-162.6,0.48,0.52,0.4048
29472.9,13071.54,384507039.1,67.35,-227.3,0.3,0.7,0.3898
29370.3,4862.834,142790576.8,62.34,-178.1,0.44,0.56,0.3898
29444.6,10091.714,296709716.2,60.56,-50.3,0.3,0.7,0.3898
29700.1,22777.104,671894162.4,76.38,-174.3,0.45,0.55,0.4048
29380.7,12078.779,353773884.3,61,-161.1,0.44,0.56,0.3898
29125,1851.727,53934755.87,59.59,-81.1,0.3,0.7,0.3714
29184.9,1352.862,39460200.44,63.11,-149.8,0.44,0.56,0.3898
29425.6,11048.252,324289140.2,70.06,329.5,0.3,0.7,0.4048
29791.3,9423.402,280507305.6,73.37,-41.6,0.48,0.52,0.4048
29880.9,7371.067,220093264,63.9,-130.9,0.44,0.56,0.3898
29450.6,1194.934,35194872.38,56.25,-49,0.3,0.7,0.3714
29587.4,11781.024,348481240.1,71.92,-266.9,0.3,0.7,0.4048
26219.1,5991.41,157082324.4,58.9,-93.3,0.3,0.7,0.3714
26186.8,4189.942,109686454.6,58.5,-153.6,0.44,0.56,0.3714
26384.6,22662.175,596825220.3,68.66,40.5,0.3,0.7,0.3898
26069.9,18794.288,489530690,60.23,-18,0.3,0.7,0.3898
27481.7,130484.605,3524773467,89.53,61.39999999999782,0.44,0.56,0.75
25940.8,1183.655,30675394.72,63.12,-81.2,0.45,0.55,0.3898
25999.1,1765.007,45829759.5,63.19,-99.4,0.44,0.56,0.3898
25917.2,4746.951,122793919.8,65.16,411.59999999999854,0.3,0.7,0.3898
26135.7,11303.45,294485300.3,60.55,66.70000000000073,0.45,0.55,0.3898
26512.7,9185.647,242179947.8,69.84,-82.1,0.48,0.52,0.3898
26567.9,25122.439,668775710.9,66.25,-99.2,0.44,0.56,0.3898
26761.3,12903.515,343960796.3,66.12,-237.6,0.3,0.7,0.3898
26650.3,10124.854,269655687.2,63.12,591.1000000000022,0.3,0.7,0.3898
26858.3,14295.582,383602204.8,73.35,-109.4,0.48,0.52,0.4048
26657.1,3287.427,87577632.01,66.63,-218.6,0.3,0.7,0.3898
26383.6,5930.976,156118566.1,64.83,-200.7,0.3,0.7,0.3898
26777.3,23873.373,638158594.3,70.22,253.70000000000073,0.44,0.56,0.4048
27117.1,3110.259,84266126.67,67.95,-58.9,0.48,0.52,0.3898
27980.4,42770.353,1189210948,87.28,290.7999999999993,0.44,0.56,0.75
27618.6,3936.577,108505940.6,59.56,-212.1,0.3,0.7,0.3714
27975.3,24495.818,684419006.4,71.09,-438,0.44,0.56,0.4048
27931,21019.722,585628265,61.48,-72.4,0.3,0.7,0.3898
28000.7,1521.356,42560291.42,62.06,-84.9,0.44,0.56,0.3898
26971.7,12072.954,325098837.3,61.16,-111.8,0.3,0.7,0.3898
26970,4265.585,115005222.3,67.04,266.5,0.44,0.56,0.3898
27901.4,48549.167,1344955572,89.33,173.6999999999971,0.48,0.52,0.75
28567.9,4581.409,130633575.1,64.3,-203.9,0.48,0.52,0.3898
28714.4,16831.943,484094144.6,65.46,-468.4,0.44,0.56,0.3898
28461.7,8636.859,245628386.8,59.49,124.29999999999927,0.44,0.56,0.3714
28966.9,16370.124,473516245.1,69.91,667.1999999999971,0.48,0.52,0.3898
29716.6,30275.024,896179996.5,79.45,-166.9,0.48,0.52,0.4048
29694.9,3190.094,94617691.83,63.3,440.5,0.44,0.56,0.3898
29868.3,5053.109,150727782,65.79,44.10000000000218,0.48,0.52,0.3898
30332.9,24709.929,750017730.1,68.16,321.5,0.48,0.52,0.3898
31343.5,19680.761,615294940,70.56,2638.199999999997,0.48,0.52,0.4048
34175.5,17091.01,577521029.7,85.22,409.1999999999971,0.48,0.52,0.75
34497.4,16063.711,553888667.9,62.53,176.59999999999854,0.48,0.52,0.3898
34214.4,825.397,28221712.81,57.17,-117,0.3,0.7,0.3714
34265,2867.015,98073909.72,61.66,315,0.44,0.56,0.3898
34501.8,3363.303,115889501.9,68.42,-57.3,0.48,0.52,0.3898
34824.9,13165.857,456700737.9,64.53,-632.4,0.44,0.56,0.3898
35500.2,22258.38,781224537.7,71.74,-194.8,0.3,0.7,0.4048
35169.3,9106.485,319082048.4,71.31,-52.4,0.44,0.56,0.4048
35408.9,28543.954,1006949039,66.7,-122.3,0.3,0.7,0.3898
35622.2,7190.205,255357236,61.9,977.7000000000044,0.44,0.56,0.3898
35885.7,8427.047,301151309.7,64.91,959,0.48,0.52,0.3898
37928.2,49607.719,1868707645,82.2,-1568.2,0.48,0.52,0.75
37107.2,13887.055,513537225.7,60.65,275,0.44,0.56,0.3898
37427.3,54659.539,2028484086,77.99,56.19999999999709,0.45,0.55,0.4048
36675.6,3578.883,131043345.7,59.83,-144.4,0.48,0.52,0.3714
36854.9,6104.834,224615249.7,67.04,297.40000000000146,0.44,0.56,0.3898
37443.1,20834.694,772656773.4,65.25,181.8000000000029,0.48,0.52,0.3898
37209.6,21643.188,801555105.4,62.95,136.5,0.3,0.7,0.3898
37760.5,20029.116,758862841.1,66.72,-73.6,0.48,0.52,0.3898
37893.3,18193.606,686679425.3,70.62,57.69999999999709,0.45,0.55,0.4048
37945.1,6177.757,233916046.9,58.65,434.09999999999854,0.48,0.52,0.3714
38732.2,19762.808,762841037.5,78.86,15.900000000001455,0.48,0.52,0.4048
38794.2,1177.815,45677440,61.11,660.8000000000029,0.48,0.52,0.3898
38876,5635.537,219073641.5,62.77,548.9000000000015,0.48,0.52,0.3898
39688.1,10861.043,430525151.9,67.61,544.8000000000029,0.48,0.52,0.3898
40098.9,21680.486,868258681.9,71.41,1483.5999999999985,0.48,0.52,0.4048
41542.2,24198.412,999549252,85.92,107.70000000000437,0.48,0.52,0.75
42206,11042.287,464953250.8,64.39,1689.5,0.48,0.52,0.3898
44060.2,11460.973,504766677.9,66.28,-291.9,0.48,0.52,0.3898
43785.9,6122.778,267616788.5,59.44,423.79999999999563,0.3,0.7,0.3714
44403.6,8680.285,383859031.3,67.32,-172.9,0.48,0.52,0.3898
41974.9,17833.738,745943250.3,62.58,818.5,0.3,0.7,0.3898
43245.3,17906.17,772148684,62.28,-417.8,0.48,0.52,0.3898
42648.3,17932.12,761233702.5,68.1,467.29999999999563,0.45,0.55,0.3898
43807.4,25915.797,1124935665,72.69,-184.3,0.3,0.7,0.4048
43244.8,11060.528,476209756.8,66.77,146.5,0.45,0.55,0.3898