,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
4863,4863,4995,1658948400000.0,22547.0,23105.0,22547.0,22762.5,29611.552,675569574.9245,2022-07-27 19:00:00,-1.336e-05,42087.441,86.12,21999.05,21139.29,21569.17,22428.92,20709.42,22858.8,20279.54,254.1,102.94,151.16,48.91,7.49,27.36,28.17,12407.07107142857,1804.82,125.6,926.13,26.08,21709.72,22405.88,PositionState,upper,22762.5,23719.5,0.0,957.0,1297.5,-94.0,676.2926829268292,1451.5499999999993
4928,4928,5060,1659182400000.0,23942.0,24375.0,23909.0,24363.0,15690.898,379344414.6215,2022-07-30 12:00:00,0.0001,42622.11299999,67.85,24021.49,23763.82,23892.66,24150.33,23634.99,24279.16,23506.16,75.33,51.52,23.81,29.05,12.47,24.86,29.02,4522.907142857142,897.7,49.5,257.75,12.19,23896.66,24127.44,PositionState,upper,24363.0,23914.0,0.0,-449.0,214.0,-449.0,33.5625,78.86000000000058
5021,5021,5153,1659517200000.0,23281.5,23399.0,23277.0,23365.5,7547.905,176094840.6155,2022-08-03 09:00:00,-3.168e-05,40588.348,63.19,23181.0,22831.02,23006.01,23356.0,22656.02,23530.99,22481.03,30.69,-21.03,51.72,29.67,16.46,18.21,22.07,4326.003857142858,-90.51,37.84,107.47,10.54,22972.38,23241.65,PositionState,upper,23365.5,22928.5,0.0,-437.0,105.0,-437.0,-33.892857142857146,-118.44000000000231
5139,5139,5271,1659942000000.0,23709.0,23850.0,23663.0,23792.0,8410.504,199923780.9515,2022-08-08 07:00:00,6.174e-05,43877.684,77.25,23495.5,23121.1,23308.3,23682.7,22933.9,23869.9,22746.7,130.29,73.58,56.7,42.81,12.11,24.52,23.16,4532.816928571429,133.39,50.91,279.13,12.18,23382.11,23661.66,PositionState,upper,23792.0,23805.5,0.0,13.5,362.0,0.0,206.40625,198.2299999999996
5193,5193,5325,1660136400000.0,23969.0,24170.0,23844.0,24000.0,22346.067,536905392.851,2022-08-10 13:00:00,0.0001,44126.254,75.49,23554.36,22925.72,23240.04,23868.68,22611.41,24183.0,22297.09,54.29,-79.01,133.3,41.0,16.14,39.92,39.3,9357.518928571428,1436.6,79.99,639.01,22.75,23228.11,23761.4,PositionState,upper,24000.0,24146.5,0.0,146.5,846.0,-402.5,229.51666666666668,498.7199999999975
5282,5282,5414,1660456800000.0,24568.0,24666.5,24568.0,24650.5,2752.702,67749303.997,2022-08-14 06:00:00,0.0001,44239.638,61.69,24575.08,24431.66,24503.37,24646.79,24359.95,24718.5,24288.24,57.55,52.01,5.54,19.1,13.29,15.55,20.24,2802.1855,12.19,15.48,48.69,2.89,24526.5,24604.34,PositionState,upper,24650.5,24548.0,0.0,-102.5,209.0,-102.5,22.416666666666668,-2.130000000001018
5302,5302,5434,1660528800000.0,24626.5,24910.0,24626.0,24900.5,13303.96,329519792.988,2022-08-15 02:00:00,0.0001,43409.088,68.07,24665.1,24265.78,24465.44,24864.76,24066.13,25064.42,23866.47,13.74,-25.6,39.34,33.37,16.6,19.43,19.81,5652.050857142857,601.63,45.78,106.79,17.8,24402.94,24691.64,PositionState,upper,24900.5,24121.0,0.0,-779.5,0.0,-779.5,-197.3,-229.09999999999852
5532,5532,5664,1661356800000.0,21602.5,21880.0,21602.5,21705.0,19165.897,416675915.564,2022-08-24 16:00:00,-8.491e-05,50269.575,65.8,21552.69,21306.46,21429.57,21675.8,21183.35,21798.91,21060.23,51.5,18.73,32.77,31.32,11.79,18.38,18.61,6441.495142857143,844.4,28.98,119.89,11.04,21444.44,21613.02,PositionState,upper,21705.0,21477.5,0.0,-227.5,0.0,-227.5,-74.5,-61.92000000000189
5747,5747,5879,1662130800000.0,20348.0,20382.0,20272.0,20346.5,4895.305,99475004.443,2022-09-02 15:00:00,0.0001,54844.375,66.03,20232.71,20045.38,20139.04,20326.37,19951.71,20420.03,19858.05,73.88,45.09,28.78,25.55,13.31,15.59,14.66,7870.845285714285,137.29,21.83,-2.97,-1.86,20186.16,20313.67,PositionState,upper,20346.5,20120.0,0.0,-226.5,0.0,-226.5,-113.25,-96.83999999999652
5896,5896,6028,1662667200000.0,19339.0,19440.0,19320.0,19364.5,10224.733,198109212.7015,2022-09-08 20:00:00,7.268e-05,56505.974,58.84,19292.16,19162.43,19227.3,19357.02,19097.57,19421.89,19032.71,40.21,35.85,4.35,21.31,20.28,18.57,22.13,9219.336857142856,438.68,14.45,40.18,8.7,19240.38,19316.18,PositionState,upper,19364.5,21165.5,0.0,1801.0,2164.5,-74.0,1445.9642857142858,1918.8499999999983
5943,5943,6075,1662836400000.0,21433.5,21625.0,21425.0,21566.5,9147.197,196924950.5835,2022-09-10 19:00:00,0.0001,52571.035,65.79,21392.52,21176.91,21284.71,21500.32,21069.11,21608.12,20961.3,138.72,163.51,-24.78,30.68,11.43,46.82,57.33,5057.119142857143,-106.63,29.65,81.0,5.43,21318.33,21465.23,PositionState,upper,21566.5,21436.5,0.0,-130.0,179.5,-152.5,-10.125,32.35000000000218
5971,5971,6103,1662937200000.0,21620.5,21841.0,21567.5,21810.0,7089.799,153902769.0915,2022-09-11 23:00:00,-5.103e-05,52803.693,62.09,21660.76,21511.36,21586.06,21735.45,21436.67,21810.15,21361.97,62.0,62.86,-0.85,25.27,14.09,20.58,24.71,5335.3619285714285,325.97,23.56,77.5,4.84,21622.61,21698.92,PositionState,upper,21810.0,22229.0,0.0,419.0,599.0,-183.0,348.75,560.25
6006,6006,6138,1663063200000.0,22376.5,22582.0,22345.0,22520.5,8581.483,192890774.1625,2022-09-13 10:00:00,4.252e-05,51075.939,63.83,22370.47,22184.28,22277.37,22463.56,22091.18,22556.66,21998.09,91.73,99.53,-7.8,29.82,13.12,27.75,33.31,6182.150285714286,226.4,25.59,69.03,6.97,22312.94,22419.16,PositionState,upper,22520.5,21391.5,0.0,-1129.0,2.0,-1129.0,-375.6666666666667,-488.0
6108,6108,6240,1663430400000.0,19947.5,20176.5,19922.0,20116.5,13192.25,264946813.195,2022-09-17 16:00:00,1.48e-05,49827.03,67.34,19957.61,19783.88,19870.75,20044.48,19697.01,20131.35,19610.14,50.84,29.56,21.28,31.35,17.58,15.91,22.65,3659.041071428572,601.39,25.86,41.43,10.46,19900.77,20017.35,PositionState,upper,20116.5,19826.0,0.0,-290.5,0.0,-290.5,-86.58333333333333,-85.41999999999825
6333,6333,6465,1664240400000.0,19333.5,19874.0,19326.5,19754.5,31005.298,609073228.5035,2022-09-27 01:00:00,-2.284e-05,51727.857,74.14,19358.25,18960.5,19159.37,19557.12,18761.62,19755.99,18562.75,114.52,64.55,49.96,39.95,12.18,16.08,17.01,10752.486785714284,1102.67,62.63,205.12,21.04,19229.16,19501.99,PositionState,upper,19754.5,19879.0,0.0,124.5,506.5,0.0,361.9666666666666,538.2699999999968
6493,6493,6625,1664816400000.0,19400.0,19586.5,19399.5,19537.5,14808.339,288972393.717,2022-10-03 17:00:00,0.0001,54664.496,66.53,19384.49,19153.89,19269.19,19499.79,19038.59,19615.1,18923.29,51.36,14.42,36.93,26.87,12.72,15.28,18.26,8185.068571428571,927.22,28.23,143.11,7.44,19302.88,19447.52,PositionState,upper,19537.5,20077.0,0.0,539.5,789.0,-46.0,393.5,673.0099999999984
6808,6808,6940,1665950400000.0,19366.5,19411.0,19247.0,19324.5,9967.229,192627550.683,2022-10-16 20:00:00,1.462e-05,63175.47,67.98,19234.38,19100.76,19167.57,19301.18,19033.96,19367.99,18967.15,25.53,0.77,24.75,36.91,13.04,29.74,33.01,3154.8335714285718,621.64,16.52,146.5,23.51,19176.16,19285.91,PositionState,upper,19324.5,19138.5,0.0,-186.0,0.0,-186.0,-93.0,-73.70999999999913
6824,6824,6956,1666008000000.0,19448.0,19576.0,19407.0,19506.0,10548.726,205728574.736,2022-10-17 12:00:00,0.0001,68681.777,69.24,19383.97,19181.3,19282.63,19485.31,19079.96,19586.64,18978.62,65.53,39.06,26.47,32.89,9.33,24.87,25.19,5065.938428571428,126.05,23.51,89.24,6.4,19325.5,19449.96,PositionState,upper,19506.0,19410.5,0.0,-95.5,146.0,-95.5,26.074074074074076,33.44000000000233
6923,6923,7055,1666364400000.0,18968.5,19159.5,18937.0,19154.5,10988.162,209293943.6645,2022-10-21 15:00:00,0.0001,71693.495,56.76,19092.81,18979.25,19036.03,19149.59,18922.46,19206.37,18865.68,-26.71,-37.76,11.05,17.1,28.62,30.86,27.3,8589.059571428572,656.64,12.46,25.69,5.21,18999.5,19066.16,PositionState,upper,19154.5,19142.5,0.0,-12.0,70.5,-36.0,1.4074074074074074,103.38000000000102
6974,6974,7106,1666548000000.0,19462.5,19522.5,19382.5,19431.0,13717.253,266958500.599,2022-10-23 18:00:00,6.019e-05,64611.584,75.24,19302.62,19134.2,19218.41,19386.83,19049.98,19471.05,18965.77,40.59,14.05,26.53,45.54,14.97,18.27,14.4,3938.899,853.23,22.38,204.74,27.36,19225.77,19373.68,PositionState,upper,19431.0,19328.0,0.0,-103.0,149.0,-103.0,30.818181818181817,-6.56000000000131
7018,7018,7150,1666706400000.0,19463.0,19528.5,19432.0,19476.5,11485.83,223664465.351,2022-10-25 14:00:00,9.32e-06,67235.236,68.85,19392.2,19284.64,19338.42,19445.99,19230.86,19499.77,19177.08,15.69,-1.27,16.97,31.81,20.46,15.67,14.75,4246.824357142857,613.82,14.52,91.09,15.18,19332.16,19429.56,PositionState,upper,19476.5,20602.0,0.0,1125.5,1353.5,0.0,983.6704545454544,1227.2999999999993
7092,7092,7224,1666972800000.0,20469.0,20738.0,20440.5,20695.5,15054.986,310558226.728,2022-10-28 16:00:00,1.22e-05,62364.415,66.21,20510.65,20229.09,20369.87,20651.43,20088.31,20792.21,19947.53,1.64,-55.8,57.44,21.71,18.81,29.98,27.47,9031.542214285717,746.27,34.27,108.4,8.6,20333.88,20565.66,PositionState,upper,20695.5,20750.0,0.0,54.5,246.5,-113.0,36.483870967741936,227.09000000000012
7250,7250,7382,1667541600000.0,20436.5,20679.0,20436.5,20592.5,14995.585,308643764.8995,2022-11-04 06:00:00,4.4e-05,59546.474,71.2,20418.46,20200.16,20309.31,20527.6,20091.01,20636.75,19981.87,36.09,-0.96,37.05,37.1,12.29,16.36,17.63,3502.54392857143,826.97,29.81,162.84,20.27,20321.11,20481.43,PositionState,upper,20592.5,21180.5,0.0,588.0,835.0,-47.5,533.4204545454545,760.9700000000012
7626,7626,7758,1668895200000.0,16671.0,16799.0,16670.5,16721.0,9444.998,158096146.9325,2022-11-19 22:00:00,2.644e-05,51677.803,62.7,16674.94,16619.56,16647.25,16702.64,16591.86,16730.33,16564.17,0.03,-9.1,9.13,36.67,16.25,11.3,12.22,1837.0879285714293,520.41,7.75,39.29,20.41,16642.83,16684.18,PositionState,upper,16721.0,16607.5,0.0,-113.5,0.0,-113.5,-39.86363636363637,-33.63999999999942
7773,7773,7905,1669424400000.0,16564.5,16685.0,16562.5,16613.5,7252.335,120620090.143,2022-11-26 01:00:00,-9.822e-05,55394.536,62.74,16559.19,16471.86,16515.53,16602.86,16428.19,16646.53,16384.52,12.86,-0.3,13.17,32.25,12.21,20.14,17.89,3312.6440714285723,72.07,10.31,-0.09,7.54,16523.61,16575.12,PositionState,upper,16613.5,16547.0,0.0,-66.5,6.5,-66.5,-10.916666666666666,5.069999999999709
7848,7848,7980,1669694400000.0,16276.5,16491.0,16274.0,16428.5,14788.37,242347646.163,2022-11-29 04:00:00,9.429e-05,52128.954,62.89,16316.1,16192.38,16254.24,16377.96,16130.52,16439.82,16068.66,-6.24,-35.01,28.76,31.05,16.55,17.77,26.82,6769.541285714287,368.94,18.34,100.69,13.4,16248.77,16342.05,PositionState,upper,16428.5,16355.5,0.0,-73.0,82.5,-73.0,27.545454545454547,56.44000000000233
7869,7869,8001,1669770000000.0,16828.5,16928.0,16817.0,16866.5,10908.634,184036592.5915,2022-11-30 01:00:00,1.048e-05,51805.121,75.07,16620.05,16362.4,16491.23,16748.88,16233.57,16877.7,16104.75,87.22,49.18,38.04,38.35,7.8,26.21,26.56,6599.823714285715,556.34,39.5,280.18,18.04,16528.77,16752.37,PositionState,upper,16866.5,16969.5,0.0,103.0,280.0,-91.5,119.85897435897436,279.7400000000016
7939,7939,8071,1670022000000.0,17031.0,17084.0,17031.0,17083.5,2488.449,42452769.8505,2022-12-02 23:00:00,4.769e-05,54114.444,63.62,17027.65,16929.07,16978.36,17076.95,16879.77,17126.24,16830.48,15.94,0.2,15.74,23.27,15.54,16.45,16.71,5314.165071428572,41.03,11.06,41.67,2.1,16982.0,17048.24,PositionState,upper,17083.5,16968.0,0.0,-115.5,0.0,-115.5,-63.0,-59.890000000003056
7988,7988,8120,1670198400000.0,17096.0,17260.0,17065.0,17201.0,10191.385,175179709.4975,2022-12-05 00:00:00,-0.00010183,55323.39,75.64,17108.64,16981.49,17045.06,17172.22,16917.91,17235.79,16854.34,43.16,26.56,16.6,35.3,8.37,32.79,27.89,4601.14092857143,629.58,16.4,64.46,4.82,17082.55,17146.82,PositionState,upper,17201.0,17196.0,0.0,-5.0,145.0,-14.5,64.43333333333334,73.86000000000058
8035,8035,8167,1670367600000.0,16967.0,17116.5,16967.0,17081.5,9119.168,155543132.0675,2022-12-06 23:00:00,9.862e-05,58085.073,60.48,17025.13,16967.98,16996.56,17053.71,16939.41,17082.28,16910.83,-11.02,-23.33,12.3,25.33,19.14,19.58,19.61,3739.289857142858,416.98,8.94,36.81,14.1,16983.27,17028.11,PositionState,upper,17081.5,17000.5,0.0,-81.0,0.0,-81.0,-42.285714285714285,-12.06000000000131
8074,8074,8206,1670508000000.0,16850.0,16920.0,16822.5,16892.5,6217.335,104910286.9795,2022-12-08 14:00:00,-8.519e-05,58742.228,58.44,16854.91,16810.88,16832.89,16876.92,16788.87,16898.93,16766.86,-5.93,-18.26,12.32,19.86,24.79,20.78,23.86,2891.925500000001,197.13,6.27,24.27,7.45,16826.44,16864.09,PositionState,upper,16892.5,17144.0,0.0,251.5,350.5,0.0,264.6041666666667,323.7999999999993
8150,8150,8282,1670781600000.0,17167.5,17207.5,17164.5,17191.0,1908.232,32787256.835,2022-12-11 18:00:00,-7.369e-05,62701.823,63.67,17172.01,17142.29,17157.15,17186.87,17127.44,17201.72,17112.58,5.38,3.27,2.11,27.25,14.82,10.45,10.6,1050.6422857142868,101.16,3.56,3.55,12.21,17158.16,17175.36,PositionState,upper,17191.0,17095.5,0.0,-95.5,0.0,-95.5,-41.0,-42.900000000001455
8177,8177,8309,1670878800000.0,17107.0,17210.0,17107.0,17154.5,13898.109,238471153.191,2022-12-12 21:00:00,-5.78e-05,60908.175,70.74,17087.09,16960.62,17023.85,17150.32,16897.38,17213.56,16834.15,6.5,-19.27,25.78,42.2,16.25,20.07,23.74,4036.127428571429,881.02,13.75,90.9,21.74,17029.5,17109.08,PositionState,upper,17154.5,17768.5,0.0,614.0,1050.5,-23.5,468.531914893617,841.3099999999977
8494,8494,8626,1672020000000.0,16844.5,16897.0,16844.5,16883.0,3354.654,56608717.2925,2022-12-26 02:00:00,0.0001,65569.758,64.14,16846.65,16796.82,16821.73,16871.56,16771.91,16896.47,16747.0,5.1,-2.63,7.73,25.78,20.34,24.6,17.49,2641.9497857142865,201.28,6.43,25.24,12.55,16816.38,16857.75,PositionState,upper,16883.0,16831.0,0.0,-52.0,1.5,-52.0,-29.3125,-22.549999999999272
8668,8668,8800,1672646400000.0,16717.5,16768.5,16707.5,16730.0,4244.389,71043623.457,2023-01-02 08:00:00,0.0001,72774.84299999,72.01,16673.21,16580.98,16627.1,16719.33,16534.86,16765.45,16488.75,31.0,18.78,12.21,38.48,11.35,24.79,21.12,2561.8448571428585,222.59,10.84,58.09,9.44,16644.22,16704.34,PositionState,upper,16730.0,16695.0,0.0,-35.0,22.0,-36.0,-10.433333333333334,12.889999999999418
8711,8711,8843,1672801200000.0,16732.0,16869.5,16732.0,16853.5,14170.986,238238658.9725,2023-01-04 03:00:00,0.0001,74250.19899999,73.38,16748.31,16646.96,16697.64,16798.99,16596.29,16849.67,16545.61,13.27,-1.55,14.83,39.97,14.34,19.98,22.8,4176.633000000001,910.54,16.4,67.93,17.3,16694.61,16779.8,PositionState,upper,16853.5,16801.5,0.0,-52.0,90.0,-52.0,-4.166666666666667,55.45000000000073
8775,8775,8907,1673031600000.0,16841.0,16958.0,16838.5,16930.5,9355.198,158172659.9845,2023-01-06 19:00:00,0.0001,70261.617,66.84,16858.52,16767.6,16813.06,16903.98,16722.14,16949.44,16676.68,8.89,-5.15,14.05,33.29,12.77,19.77,15.88,4718.756714285715,566.33,12.36,45.69,13.85,16802.94,16878.54,PositionState,upper,16930.5,16918.0,0.0,-12.5,41.5,-44.0,-1.85,47.93999999999869
8819,8819,8951,1673190000000.0,16945.5,17010.5,16933.5,16990.0,4902.592,83226058.93,2023-01-08 15:00:00,0.0001,69712.41899999,70.69,16950.15,16919.92,16935.04,16965.27,16904.81,16980.39,16889.69,9.1,7.15,1.95,47.28,10.63,30.32,29.35,1078.4281428571437,291.99,5.79,29.7,21.58,16937.38,16962.28,PositionState,upper,16990.0,16930.0,0.0,-60.0,0.0,-60.0,-30.0,-16.139999999999418
8827,8827,8959,1673218800000.0,16955.0,17190.0,16955.0,17119.5,17641.011,301267545.133,2023-01-08 23:00:00,0.0001,68988.429,77.17,16998.32,16912.29,16955.3,17041.34,16869.27,17084.36,16826.25,20.56,8.93,11.62,60.05,4.8,43.09,35.13,2914.270500000001,1093.29,17.27,106.7,26.22,16964.33,17035.42,PositionState,upper,17119.5,17211.0,0.0,91.5,223.5,0.0,104.36363636363636,220.2400000000016
8867,8867,8999,1673362800000.0,17278.5,17362.5,17255.5,17308.5,9730.164,168432492.957,2023-01-10 15:00:00,1.103e-05,67734.61599999,62.84,17266.88,17195.62,17231.25,17302.5,17160.0,17338.13,17124.37,23.51,20.19,3.32,31.57,15.63,27.19,37.28,3072.5300714285727,578.74,8.13,6.13,11.18,17245.0,17280.45,PositionState,upper,17308.5,17328.5,0.0,20.0,155.0,-19.0,95.88,88.21999999999753
8895,8895,9027,1673463600000.0,17478.0,17540.0,17459.5,17536.0,4434.115,77646837.3295,2023-01-11 19:00:00,1.701e-05,69893.774,68.38,17452.03,17363.15,17407.59,17496.47,17318.71,17540.91,17274.26,27.94,26.6,1.33,31.14,15.18,24.83,29.5,3680.433285714287,211.39,13.52,52.11,13.37,17411.38,17478.29,PositionState,upper,17536.0,17987.0,0.0,451.0,740.0,0.0,497.625,639.3400000000001
8918,8918,9050,1673546400000.0,18833.5,18985.0,18602.5,18784.5,24627.683,462728675.3445,2023-01-12 18:00:00,-1.809e-05,60313.188,75.77,18386.85,17957.21,18172.03,18601.68,17742.39,18816.5,17527.57,220.13,184.05,36.07,40.85,9.36,44.77,46.47,13352.474642857143,1633.9,64.46,89.66,21.06,18302.27,18628.72,PositionState,upper,18784.5,20679.5,0.0,1895.0,2224.0,-31.5,1108.8157894736842,2119.619999999999
8997,8997,9129,1673830800000.0,20975.0,21356.5,20926.5,21192.5,20809.594,440200909.0825,2023-01-16 01:00:00,0.0001,50010.319,69.97,20996.0,20748.2,20872.1,21119.9,20624.3,21243.8,20500.4,94.78,79.36,15.42,27.02,19.45,13.97,16.67,6685.568714285716,1347.39,33.72,142.55,12.52,20931.33,21062.89,PositionState,upper,21192.5,20750.0,0.0,-442.5,20.0,-442.5,-84.1875,-119.22999999999956
9058,9058,9190,1674050400000.0,21398.5,21673.0,21305.0,21418.0,26685.668,572790366.394,2023-01-18 14:00:00,0.0001,53781.48,62.07,21335.78,21187.95,21261.86,21409.69,21114.03,21483.61,21040.12,36.4,27.5,8.9,29.97,12.28,23.64,25.35,6567.078285714287,1525.34,16.43,52.78,12.65,21269.27,21364.59,PositionState,upper,21418.0,21025.0,0.0,-393.0,0.0,-393.0,-196.5,-169.79999999999927
9087,9087,9219,1674154800000.0,20962.5,21123.5,20933.5,21075.0,9738.088,204982412.21,2023-01-19 19:00:00,-1.471e-05,55604.853,63.78,20948.73,20774.09,20861.41,21036.05,20686.78,21123.37,20599.46,-7.04,-50.54,43.49,21.18,15.65,22.15,24.85,5613.452285714287,588.62,22.47,127.17,7.4,20842.38,20986.68,PositionState,upper,21075.0,20967.0,0.0,-108.0,34.0,-163.0,-36.63636363636363,9.889999999999418
9109,9109,9241,1674234000000.0,21299.5,21400.0,21259.5,21337.5,9973.99,212824678.4515,2023-01-20 17:00:00,9.14e-06,58091.92,71.37,21173.01,20952.18,21062.59,21283.43,20841.76,21393.85,20731.34,74.7,41.24,33.45,27.22,9.62,20.27,18.29,6158.75792857143,546.9,28.93,141.04,3.71,21098.55,21270.19,PositionState,upper,21337.5,22739.0,0.0,1401.5,1941.0,0.0,1324.7833333333333,1690.050000000003
9181,9181,9313,1674493200000.0,22906.0,23070.5,22848.0,23067.5,5447.772,125038962.5785,2023-01-23 17:00:00,0.0001,45805.514,60.71,22927.81,22709.9,22818.86,23036.77,22600.94,23145.73,22491.99,38.76,14.18,24.58,21.35,12.55,17.83,20.26,7878.763714285715,203.27,26.17,38.06,3.58,22861.88,22957.92,PositionState,upper,23067.5,22792.0,0.0,-275.5,0.0,-275.5,-137.66666666666666,-89.93999999999869
9232,9232,9364,1674676800000.0,22752.5,22959.0,22752.0,22938.0,13644.301,312091433.285,2023-01-25 20:00:00,0.0001,48977.833,60.7,22798.28,22594.67,22696.47,22900.08,22492.86,23001.89,22391.05,-15.21,-53.33,38.11,23.89,21.84,28.35,28.26,6293.0033571428585,811.0,25.42,122.72,9.86,22661.83,22821.14,PositionState,upper,22938.0,22967.5,0.0,29.5,680.0,0.0,200.5,224.4200000000019
9309,9309,9441,1674954000000.0,23108.0,23514.0,23108.0,23237.0,17373.74,405465999.672,2023-01-29 01:00:00,0.0001,46177.701,66.14,23100.19,22973.89,23037.04,23163.34,22910.75,23226.48,22847.6,18.48,-1.83,20.32,39.32,11.09,14.97,16.59,3159.9352857142867,1149.27,21.04,112.81,27.08,23039.16,23146.46,PositionState,upper,23237.0,23555.0,0.0,318.0,658.5,-93.5,284.5625,468.9599999999991
9400,9400,9532,1675281600000.0,23381.0,23658.0,23315.0,23568.5,24208.637,568796580.984,2023-02-01 20:00:00,0.0001,46091.365,73.59,23263.13,22988.01,23125.57,23400.69,22850.45,23538.25,22712.89,57.17,13.05,44.11,29.88,11.09,18.27,17.04,8917.203000000001,1558.11,46.61,305.64,13.66,23137.22,23390.19,PositionState,upper,23568.5,23612.0,0.0,43.5,627.0,0.0,237.5,313.0500000000029
9422,9422,9554,1675360800000.0,23899.5,24159.5,23899.5,24064.5,13532.161,325541416.4535,2023-02-02 18:00:00,0.0001,48039.041,65.75,23879.76,23641.52,23760.64,23998.88,23522.4,24118.0,23403.27,128.58,137.41,-8.83,22.92,14.43,25.52,31.38,6420.500357142858,768.19,31.98,43.13,8.62,23822.94,23952.7,PositionState,upper,24064.5,23447.0,0.0,-617.5,0.0,-617.5,-261.75,-286.5499999999993
9641,9641,9773,1676149200000.0,21657.8,21860.0,21650.0,21814.0,5755.843,125348713.643,2023-02-11 21:00:00,0.0001,50895.383,58.75,21744.42,21663.06,21703.74,21785.1,21622.38,21825.79,21581.7,-18.38,-35.63,17.25,25.85,19.14,30.72,38.89,2144.4745000000007,234.78,11.6,33.32,16.78,21707.02,21737.27,PositionState,upper,21814.0,21725.2,0.0,-88.79999999999927,177.40000000000146,-88.79999999999927,38.41200000000012,106.27999999999884
