index,start_at,open,high,low,close,volume,turnover,date
1711390500.0,1711390500.0,70590,70858.2,70513,70700.1,1380.378,97587846.0753,2024-03-25 18:15:00
1711391400.0,1711391400.0,70700.1,70738.1,70415.6,70717.9,1186.953,83769180.0892,2024-03-25 18:30:00
1711392300.0,1711392300.0,70717.9,70963.1,70684.8,70908.1,1324.759,93867946.2611,2024-03-25 18:45:00
1711393200.0,1711393200.0,70908.1,71000,70608.2,70652.3,2196.341,155498757.5053,2024-03-25 19:00:00
1711394100.0,1711394100.0,70652.3,70824.5,70550,70665,1086.046,76748876.5551,2024-03-25 19:15:00
1711395000.0,1711395000.0,70665,70829.1,70610.7,70802,631.253,44646451.8546,2024-03-25 19:30:00
1711395900.0,1711395900.0,70802,71074.2,70778.8,71025.6,2034.926,144409160.0705,2024-03-25 19:45:00
1711396800.0,1711396800.0,71025.6,71278.3,70781.2,70821,2737.964,194497245.7372,2024-03-25 20:00:00
1711397700.0,1711397700.0,70821,71104.8,70791.8,70924.5,950.007,67412805.3915,2024-03-25 20:15:00
1711398600.0,1711398600.0,70924.5,70929.3,70718.3,70907.8,542.695,38433456.2697,2024-03-25 20:30:00
1711399500.0,1711399500.0,70907.8,71041.3,70837,70960,827.988,58738855.5813,2024-03-25 20:45:00
1711400400.0,1711400400.0,70960,70990,70388.8,70410.1,2291.758,161971063.5392,2024-03-25 21:00:00
1711401300.0,1711401300.0,70410.1,70415.9,69600,69850.1,4711.769,329774346.8528,2024-03-25 21:15:00
1711402200.0,1711402200.0,69850.1,70184.1,69723.6,70150.4,2176.679,152405836.2719,2024-03-25 21:30:00
1711403100.0,1711403100.0,70150.4,70154.5,69830.3,69893.9,728.853,50986967.4662,2024-03-25 21:45:00
1711404000.0,1711404000.0,69893.9,70475.1,69883.7,70436.5,1550.616,108902486.1025,2024-03-25 22:00:00
1711404900.0,1711404900.0,70436.5,70589.5,70330,70400,1417.078,99829841.8899,2024-03-25 22:15:00
1711405800.0,1711405800.0,70400,70732.7,70337.7,70610.5,1680.527,118557512.75,2024-03-25 22:30:00
1711406700.0,1711406700.0,70610.5,70620,70254.1,70348.4,1549.425,109071879.8051,2024-03-25 22:45:00
1711407600.0,1711407600.0,70348.4,70504.5,70294.3,70476.2,640.771,45094629.6015,2024-03-25 23:00:00
1711408500.0,1711408500.0,70476.2,70507,70106.6,70197.8,1360.364,95582086.5294,2024-03-25 23:15:00
1711409400.0,1711409400.0,70197.8,70271.2,69839.2,69901.3,1254.141,87795669.6298,2024-03-25 23:30:00
1711410300.0,1711410300.0,69901.3,70025,69712,69903.4,1565.526,109360592.0695,2024-03-25 23:45:00
1711411200.0,1711411200.0,69903.4,70013.5,69750.2,69896.3,1034.652,72301676.2103,2024-03-26 00:00:00
1711412100.0,1711412100.0,69896.3,70018.8,69770.1,69971.9,710.203,49636305.9053,2024-03-26 00:15:00
1711413000.0,1711413000.0,69971.9,70273.7,69946,70144.4,1678.315,117760324.6748,2024-03-26 00:30:00
1711413900.0,1711413900.0,70144.4,70179.8,69902.5,69941,525.979,36826402.1872,2024-03-26 00:45:00
1711414800.0,1711414800.0,69941,70223.4,69822.3,70192.4,601.538,42138634.0398,2024-03-26 01:00:00
1711415700.0,1711415700.0,70192.4,70368,70125.3,70325.4,1273.112,89467248.6967,2024-03-26 01:15:00
1711416600.0,1711416600.0,70325.4,70325.4,70221,70280.5,389.211,27350637.4396,2024-03-26 01:30:00
1711417500.0,1711417500.0,70280.5,70370,70220.8,70330.7,504.836,35483901.0088,2024-03-26 01:45:00
1711418400.0,1711418400.0,70330.7,70330.7,70070,70230,729.797,51233505.1865,2024-03-26 02:00:00
1711419300.0,1711419300.0,70230,70333.3,70170,70298.2,427.111,30013575.5159,2024-03-26 02:15:00
1711420200.0,1711420200.0,70298.2,70339.7,70257.7,70296.4,481.434,33843291.0907,2024-03-26 02:30:00
1711421100.0,1711421100.0,70296.4,70620,70261,70589.4,1425.972,100478437.9758,2024-03-26 02:45:00
1711422000.0,1711422000.0,70589.4,70589.4,70343.3,70451.9,885.939,62411866.14,2024-03-26 03:00:00
1711422900.0,1711422900.0,70451.9,70596.7,70355,70539,929.859,65557708.0224,2024-03-26 03:15:00
1711423800.0,1711423800.0,70539,70545.7,70464.2,70542.3,55.715,3927916.8721,2024-03-26 03:30:00
